---,10827817,11342769,21170586
Alba,185478,190108,
Arad,228784,242062,
Arges,308954,327064,
Bacau,365856,374394,
Bihor,300926,315798,
Bistrita-Nasaud,163116,164984,
Botosani,226858,227308,
Brasov,307429,327655,
Braila,167175,177687,
Buzau,227454,238447,
Caras-Severin,155916,162450,
Calarasi,152030,157619,
Cluj,352976,379291,
Constanta,371414,394002,
Covasna,111574,114876,
Dambovita,255319,265752,
Dolj,333850,355560,
Galati,308792,317216,
Giurgiu,133428,138264,
Gorj,177710,180699,
Harghita,163348,167950,
Hunedoara,223208,234338,
Ialomita,141083,146083,
Iasi,475015,474376,
Ilfov,212255,224937,
Maramures,256875,264645,
Mehedinti,137740,141850,
Mures,290667,301539,
Neamt,279401,289164,
Olt,215779,220231,
Prahova,384329,408928,
Satu Mare,189324,197993,
Salaj,120153,124393,
Sibiu,227759,239809,
Suceava,379727,380162,
Teleorman,183040,188780,
Timis,364003,389932,
Tulcea,118065,118832,
Vaslui,251872,243907,
Valcea,194752,202135,
Vrancea,188669,196229,
Bucuresti Sectorul 1,90103,104505,
Bucuresti Sectorul 2,140994,163529,
Bucuresti Sectorul 3,158596,183945,
Bucuresti Sectorul 4,120984,140322,
Bucuresti Sectorul 5,111853,129732,
Bucuresti Sectorul 6,154374,179048,